age,sex,allergy,photo,video,desc,mean_grade,com,com_with_photo_video
17,1,1,4,5,3,3,4,5
32,1,1,3,3,3,5,3,5
31,1,1,5,3,4,5,5,5
32,1,1,5,1,5,3,5,4
39,1,1,1,2,5,5,5,4
18,0,0,4,4,4,5,5,5
25,0,0,5,2,3,5,3,4
33,1,1,2,5,4,3,5,5
16,1,1,4,3,5,5,5,3
17,1,0,4,4,3,5,5,5
70,1,1,5,4,4,5,5,5
75,1,1,3,2,4,5,5,5
30,1,1,2,2,3,5,3,3
19,0,0,4,4,3,5,5,5
16,0,0,4,4,4,3,5,4
22,1,1,5,4,5,4,5,3
23,0,1,4,3,1,5,5,5
21,1,0,5,2,4,5,5,5
28,1,1,4,5,4,5,5,4
53,0,1,5,5,5,5,5,5
21,1,1,3,3,2,5,5,3
24,0,1,5,1,3,5,5,5
36,1,1,5,3,5,5,5,2
44,1,1,5,4,2,5,4,5
17,0,1,3,3,2,5,5,5
25,1,1,2,1,5,5,5,4
32,1,1,4,4,2,4,5,5
22,1,1,4,3,5,5,5,5
28,1,0,5,2,2,5,5,3
26,1,1,2,2,5,5,5,5
19,1,0,5,2,4,3,3,4
34,0,1,4,4,5,5,5,2
18,1,1,5,3,3,4,5,5
26,1,1,3,3,3,2,5,4
33,0,1,2,4,2,5,5,5
18,0,1,5,2,2,5,5,4
31,1,1,5,3,5,2,5,5
32,0,0,4,2,5,5,5,5
48,0,1,5,5,3,5,5,5
27,1,1,5,3,2,5,5,5
35,1,1,5,3,3,5,1,2
26,1,0,4,4,3,2,5,5
26,1,1,5,2,5,4,5,5
31,1,1,4,3,3,5,5,4
72,0,1,2,3,4,4,5,5
18,1,1,5,2,5,5,5,5
19,1,1,5,5,5,5,5,5
19,0,0,5,4,4,3,5,5
26,1,1,5,3,4,5,5,5
39,0,1,3,3,2,3,5,4
21,1,1,2,4,1,3,5,5
27,0,0,3,3,3,5,5,5
42,1,1,4,4,5,3,5,5
53,1,1,3,5,5,5,5,5
24,0,0,5,3,5,5,3,1
29,1,1,5,3,5,5,5,5
19,1,0,5,3,3,5,5,5
31,1,0,3,5,4,5,5,5
39,1,1,3,2,5,5,4,5
26,1,1,5,3,4,5,5,5
65,1,0,3,3,2,2,5,5
29,0,1,2,4,5,3,5,5
23,1,1,5,3,1,3,5,5
17,1,1,4,5,1,5,5,5
21,1,1,3,4,5,5,5,3
26,1,1,2,3,5,5,5,5
15,1,1,5,2,2,4,5,5
24,0,1,5,4,4,4,5,5
19,1,0,3,5,2,5,5,4
23,0,1,2,4,1,5,5,4
17,0,1,5,5,3,4,5,2
16,0,1,5,4,3,5,5,5
15,0,1,2,4,5,5,5,5
16,1,0,5,2,4,3,5,2
25,1,1,5,1,5,3,5,5
29,1,0,5,1,5,5,5,5
49,0,1,4,3,4,4,5,5
19,0,1,5,5,5,4,5,5
28,0,1,3,4,4,5,5,5
30,1,1,4,1,5,5,5,3
52,1,0,1,3,2,5,5,5
31,0,1,4,1,5,5,3,4
39,0,1,2,3,3,5,5,5
30,0,1,2,3,3,5,5,5
23,0,0,5,2,5,4,5,2
16,1,0,5,5,2,5,5,5
39,0,1,3,2,3,5,5,5
41,1,1,5,2,4,5,5,5
34,0,1,5,3,2,5,4,5
18,1,0,4,5,3,5,5,3
33,1,1,5,3,5,2,5,5
26,0,1,5,1,4,5,5,2
16,1,0,5,1,2,5,5,5
15,1,1,3,3,3,5,5,5
46,1,1,4,3,2,5,5,5
18,1,1,2,5,5,5,5,4
48,1,1,5,5,3,5,5,5
25,0,1,3,2,4,4,5,5
34,0,0,3,3,5,5,5,4
15,1,1,5,1,2,5,5,5
19,0,1,3,4,3,5,5,4
32,1,1,5,5,4,5,5,3
28,1,1,2,2,2,5,5,3
25,1,0,4,3,2,5,4,4
21,1,1,5,2,5,5,5,5
79,1,1,4,2,4,5,5,5
26,0,1,4,5,3,5,3,4
17,1,1,4,3,4,3,5,3
20,1,0,5,2,2,2,5,2
27,0,1,5,5,1,4,5,4
35,1,0,2,1,1,5,5,5
19,1,1,2,4,5,5,5,5
33,1,1,1,3,5,5,4,5
18,1,1,3,5,3,5,5,5
23,0,1,5,1,4,3,5,5
21,1,1,5,3,4,5,5,5
35,1,1,3,2,3,4,5,5
38,1,0,3,1,4,2,5,5
19,1,1,1,5,2,3,5,5
21,1,1,4,3,5,5,5,5
72,0,1,4,5,1,5,5,4
19,1,1,2,5,5,5,5,5
23,0,0,2,3,4,5,5,4
25,1,1,3,1,3,5,5,2
35,1,1,4,1,1,5,5,4
22,0,1,2,3,5,5,4,4
